path,text
LibriSpeech/train-clean-360/3171/68344/3171-68344-0041.flac,THE DAUGHTER TO BE DEVOURED BY WILD BEASTS AND THE MOTHER TO BE BURNT ALIVE NO SOONER HOWEVER WAS SHE REDUCED TO ASHES THAN THE CHARM WHICH HELD THE QUEEN'S BROTHER IN THE FORM OF A STAG WAS BROKEN
LibriSpeech/train-clean-360/1800/142858/1800-142858-0038.flac,AND THIS VERITY THE EPISTLE FURTHER CONFIRMED WITH ROWS OF FULL STOPS TO THE EXTENT OF NEARLY HALF A PAGE NEXT THERE FOLLOWED A FEW REFLECTIONS OF A CORRECTITUDE SO REMARKABLE THAT I HAVE NO CHOICE BUT TO QUOTE THEM WHAT
LibriSpeech/train-clean-360/6215/62347/6215-62347-0016.flac,THAT WOULD BE AN INCORRECT ANSWER THE DEFINITION GIVEN BY THAT AUTHORITY I HAVE EVERY REASON TO BELIEVE IS THE CORRECT ONE THE GENERALLY ACCEPTED ONE THE AUTHORITY REFERRED TO
LibriSpeech/train-clean-360/781/126737/781-126737-0017.flac,DORMICE ARE BAD NEIGHBORS FOR US WHO DO NOT EAT THEM PRESERVED AS THE ROMANS DID WHAT DID THE ROMANS EAT THEM SAID THE GARDENER ATE DORMICE
LibriSpeech/train-clean-360/1046/133224/1046-133224-0032.flac,WILL YOU LET ANNABEL ASK HER IF SHE SEES WHAT IT IS YOU HOLD IN YOUR ARMS AGAIN THE VOICE WAS SOFT AND WHEEDLING NO ANNABEL SAID AUNT RACHEL FAINTLY WILL YOU ROCK AGAIN
LibriSpeech/train-clean-360/5935/43322/5935-43322-0024.flac,AND INNATELY SO EVIDENTLY FOR THE GIRL WAS SLIGHTLY DEFORMED HARDLY A HUNCHBACK BUT WEAK AND UNATTRACTIVE LOOKING WITH MELANCHOLY EYES AND A PALE PINCHED FACE IT WAS THE THOUGHT OF THAT LITTLE ACT OF SIMPLE CHIVALRY WITNESSED THE DAY BEFORE
LibriSpeech/train-clean-360/4358/44937/4358-44937-0024.flac,ALL HUMANITY DOES AGREE THAT WE ARE IN A NET OF SIN MOST OF HUMANITY AGREES THAT THERE IS SOME WAY OUT BUT AS TO WHAT IS THE WAY OUT I DO NOT THINK THAT THERE ARE TWO INSTITUTIONS IN THE UNIVERSE WHICH CONTRADICT EACH OTHER SO FLATLY AS BUDDHISM AND CHRISTIANITY
LibriSpeech/train-clean-360/54/121080/54-121080-0042.flac,AND THE BLUE EYE OF FRANCES MET THE BRILLIANT BLACK ONE OF HER GUEST FOR A SINGLE MOMENT AND BOTH FELL IN ABASHED CONFUSION ON THE CARPET THEY ADVANCED HOWEVER UNTIL THEY MET AND HAD TAKEN EACH OTHER'S HAND BEFORE EITHER VENTURED AGAIN TO LOOK HER COMPANION IN THE FACE
LibriSpeech/train-clean-360/476/133471/476-133471-0047.flac,WELL IT WAS REALLY HARD THAT POOR EPIMETHEUS SHOULD HAVE A BOX IN HIS EARS FROM MORNING TILL NIGHT ESPECIALLY AS THE LITTLE PEOPLE OF THE EARTH WERE SO UNACCUSTOMED TO VEXATIONS
LibriSpeech/train-clean-360/1222/141174/1222-141174-0032.flac,HANNAH FELT IN HER BONES THAT IT WAS GOING TO BE AN UNUSUALLY FINE DAY AND SHE PROVED HERSELF A TRUE PROPHETESS FOR EVERYBODY AND EVERYTHING SEEMED BOUND TO PRODUCE A GRAND SUCCESS TO BEGIN WITH MISTER MARCH WROTE THAT HE SHOULD SOON BE WITH THEM
LibriSpeech/train-clean-360/5684/46243/5684-46243-0044.flac,THE DAUGHTER TO BE DEVOURED BY WILD BEASTS AND THE MOTHER TO BE BURNT ALIVE NO SOONER HOWEVER WAS SHE REDUCED TO ASHES THAN THE CHARM WHICH HELD THE QUEEN'S BROTHER IN THE FORM OF A STAG WAS BROKEN
LibriSpeech/train-clean-360/6518/66470/6518-66470-0032.flac,AND THIS VERITY THE EPISTLE FURTHER CONFIRMED WITH ROWS OF FULL STOPS TO THE EXTENT OF NEARLY HALF A PAGE NEXT THERE FOLLOWED A FEW REFLECTIONS OF A CORRECTITUDE SO REMARKABLE THAT I HAVE NO CHOICE BUT TO QUOTE THEM WHAT
LibriSpeech/train-clean-360/1060/134451/1060-134451-0029.flac,THAT WOULD BE AN INCORRECT ANSWER THE DEFINITION GIVEN BY THAT AUTHORITY I HAVE EVERY REASON TO BELIEVE IS THE CORRECT ONE THE GENERALLY ACCEPTED ONE THE AUTHORITY REFERRED TO
