path,text
LibriSpeech/train-clean-360/2061/147110/2061-147110-0036.flac,MANY TIMES DAVID MET AND OVERPOWERED THEM WITH THE STRENGTH GIVEN TO HIM BY THE LORD IT SEEMS AS THOUGH I CAN SEE HIM GUARDING HIS FLOCKS SAID SOLOMON AS LEVI STOPPED TALKING TO REST FOR A MOMENT HIS BEAUTIFUL BLACK EYES ARE LOOKING OUT INTO THE NIGHT AND WATCHING FOR DANGER
LibriSpeech/train-clean-360/1827/143625/1827-143625-0036.flac,ALL OTHER OBJECTS ARE FAIR AND VERY BEAUTIFUL I CONFESS KINDRED ALLIANCE
LibriSpeech/train-clean-360/4243/187023/4243-187023-0008.flac,AND AN OUTCRY FOR PROTECTION AROSE AMONG ENGLISH SHIPPERS WHICH THE ADMIRALTY COULD NOT CALM THE BRITISH NEWSPAPERS WERE FILLED WITH ASSERTIONS THAT THE AMERICAN CRUISER WAS THE SUPERIOR OF ANY VESSEL OF ITS CLASS
LibriSpeech/train-clean-360/7981/112061/7981-112061-0014.flac,LUBOTSHKA IN BLACK GARMENTS AND SUFFUSED WITH TEARS STOOD WITH HER HEAD BOWED UPON HER BREAST SHE RARELY LOOKED AT THE COFFIN YET WHENEVER SHE DID SO HER FACE EXPRESSED A SORT OF CHILDISH FEAR
LibriSpeech/train-clean-360/6567/53342/6567-53342-0021.flac,BUT ONCE WARNED HE MIGHT YET SUCCEED AND IF HE FAILED IF INDEED FATE AND CHAUVELIN WITH ALL THE RESOURCES AT HIS COMMAND PROVED TOO STRONG FOR THE DARING PLOTTER AFTER ALL THEN AT LEAST SHE WOULD BE THERE BY HIS SIDE
LibriSpeech/train-clean-360/90/121085/90-121085-0002.flac,THAT I COULD GET ON BY MYSELF BUT STILL EDWARD YOU KNOW WE CAN NOT TELL WHAT A DAY MAY BRING FORTH AND I MIGHT FALL SICK OR SOMETHING HAPPEN WHICH MIGHT PREVENT MY ATTENDING TO ANY THING AND THEN WITHOUT YOU OR PABLO EVERY THING MIGHT HAVE GONE TO RACK AND RUIN
LibriSpeech/train-clean-360/953/130625/953-130625-0082.flac,AND ON EACH OF THESE OCCASIONS HER EYES WERE DIRECTED AT ME IN A NORMAL MANNER WITHOUT ANY SIGN OF A SQUINT NEVERTHELESS I HAD THE IMPRESSION THAT WHEN HER FACE WAS TURNED AWAY FROM ME SHE SQUINTED
LibriSpeech/train-clean-360/6082/56174/6082-56174-0051.flac,BECAUSE IT WAS BELIEVED THAT IN THE COURSE OF THAT TIME HER IMP WOULD COME TO SUCK HER FOR WHOM SOME HOLE OR INGRESS WAS PROVIDED THE WATCHERS SWEPT THE ROOM FREQUENTLY SO THAT NOTHING MIGHT ESCAPE THEM AND SHOULD A FLY OR SPIDER BE FOUND THAT HAD THE ACTIVITY TO ELUDE THEM
LibriSpeech/train-clean-360/7939/120330/7939-120330-0031.flac,COMING FROM THE BETTER PART OF THE FAIR I NOTICED A MAN WHO LOOKED LIKE A GENTLEMAN FARMER WITH A YOUNG BOY BY HIS SIDE HE HAD A BROAD BACK AND ROUND SHOULDERS A KIND RUDDY FACE
LibriSpeech/train-clean-360/4899/32637/4899-32637-0014.flac,HE TOLD HER THAT ALREADY HE HAD WORK ENOUGH TO KEEP HIM GOING THAT THE HORSES HE ONCE SHOD WERE ALWAYS BROUGHT TO HIM AGAIN
LibriSpeech/train-clean-360/2061/147110/2061-147110-0036.flac,AND THEY SENT AND APPOINTED A PLACE FOR THE SELINUNTINES TO MEET THEM WITH ALL THEIR FORCES A FEW TROOPS WERE ALSO PROMISED BY THE GELOANS AND SOME OF THE SICELS
LibriSpeech/train-clean-360/1827/143625/1827-143625-0036.flac,IT NEVER RAINS BUT IT POURS THE MEASURE OF THAT DAY'S TRIBULATIONS WAS NOT YET FULL JUST AS MISTER ALLAN HAD FINISHED RETURNING THANKS THERE AROSE A STRANGE OMINOUS SOUND ON THE STAIRS AS OF SOME HARD HEAVY OBJECT BOUNDING FROM STEP TO STEP
LibriSpeech/train-clean-360/4243/187023/4243-187023-0008.flac,SHE WAS A CHARMING BLONDE WITH GOLDEN HAIR AND BLUE EYES AND A COMPLEXION OF ROSE LEAF HUE IN SPITE OF HER GRIEF HER DEMEANOUR WAS LIVELY AND ENGAGING AND HER SMILE PARTICULARLY ATTRACTIVE LIGHTING UP HER WHOLE FACE IN THE MOST FASCINATING MANNER
LibriSpeech/train-clean-360/7981/112061/7981-112061-0014.flac,SO HE FILLED TWO CHESTS WITH SAND AND SENT WORD TO TWO WEALTHY MONEY LENDERS THAT HE WISHED TO BORROW SIX HUNDRED SPANISH MARKS ABOUT TWO THOUSAND DOLLARS AND WOULD PUT INTO THEIR HANDS HIS TREASURES OF SILVER AND GOLD WHICH WERE PACKED IN TWO CHESTS
LibriSpeech/train-clean-360/6567/53342/6567-53342-0021.flac,LET THEM COME TO US FOR WE HAVE IT TO SELL THIS THEY REPEATED AS THEY WENT FROM PLACE TO PLACE SO THAT THE PEOPLE WONDERED VERY MUCH AND SOME THOUGHT THEM TO BE NOTHING MORE THAN PERSONS HALF CRAZED
LibriSpeech/train-clean-360/90/121085/90-121085-0002.flac,TO PREVENT FIRES IN HIS ELECTRIC LIGHT SYSTEM WAS AGAIN DISPLAYED IN THIS CONCENTRATING PLANT WHERE TO SAVE POSSIBLE INJURY TO ITS EXPENSIVE OPERATING PARTS HE DEVISED AN ANALOGOUS FACTOR PROVIDING ALL THE CRUSHING MACHINERY WITH CLOSELY CALCULATED SAFETY PINS
